sha	date	subject	files	decision	reason	needs_unit_test	needs_devenv	commit_strategy	coupled_to	status
1d6ef5f5c	2024-06-11	invalidate CPRs when reaching position reliability zero	track.c	take	core decode/output path (critical)	y				
c9b9020ee	2024-06-11	get going a bit quicker after reaching zero reliability	track.c	take	core decode/output path (critical)	y				
dea46ed7b	2024-06-14	dockerfile use run mount	Dockerfile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
4f7a7f18c	2024-06-14	ifile: don't use synthetic time for stdin	demod_2400.c,sdr_ifile.c	take	core decode/output path (critical)	y				
51f21881d	2024-06-18	cpr debug print	track.c	take	core decode/output path (critical)	y				
526c5d7ff	2024-07-09	hackrf oddities	sdr_hackrf.c	take	SDR/hardware path; low test priority	n				
874c84ea3	2024-07-10	non-MLAT aircraft without valid track data: more trace positions	globe_index.c	take	core decode/output path (critical)	y				
1a4c123d2	2024-07-11	fix exit on hang logic not signaling exit properly	readsb.c	take	core code (non-critical) | exit-on-hang signaling; cover via test_lifecycle	y	y		follow-up?	
1ed7c88c0	2024-07-11	incrementing version: 3.14.1632	debian/changelog,version	skip	debian changelog metadata only					
00433443d	2024-07-11	--devel=forwardMinMessages,2	net_io.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
8329053d9	2024-07-12	gpsd_in: ignore non-TPV messages	net_io.c	take	core decode/output path (critical)	y				
94c4b2dec	2024-07-13	add --devel=tar1090NoGlobe	json_out.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
07df2f253	2024-07-13	incrementing version: 3.14.1633	debian/changelog,version	skip	debian changelog metadata only					
e04f85c7b	2024-07-13	Dockerfile: x86_64: compile with -march=nehalem	Dockerfile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
6ff799e19	2024-07-17	traces: don't save more ground positions than intended	globe_index.c	take	core decode/output path (critical)	y				
62768aadb	2024-07-19	add geomag copyright notice	geomag.c	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
e62917e0d	2024-07-26	don't use the rpi zero reduction of cpu usage via preamble on non-arm platforms	readsb.c	take	core code (non-critical) | perf/memory; no observable output change	n				
a3f82ffb1	2024-07-26	incrementing version: 3.14.1634	debian/changelog,version	skip	debian changelog metadata only					
b6715be2e	2024-08-07	supress most errors for repeated connection failures	net_io.c,net_io.h	take	core decode/output path (critical)	y				
f2a37b0a9	2024-08-07	net: better debug print	net_io.c	take	core decode/output path (critical)	y				
62718821f	2024-08-07	incrementing version: 3.14.1635	debian/changelog,version	skip	debian changelog metadata only					
d0b4e7193	2024-08-07	net-connector: improve error suppression	net_io.c	take	core decode/output path (critical)	y				
a3a174cb8	2024-08-13	json output: fix when input is sbs input	net_io.c	take	core decode/output path (critical)	y			follow-up?	
d2f12d9a2	2024-08-13	incrementing version: 3.14.1636	debian/changelog,version	skip	debian changelog metadata only					
3da4c74de	2024-08-14	add --devel=legacy_history	readsb.c,readsb.h	take	core code (non-critical) | new --devel=legacy_history output mode	y				
cae21dc28	2024-08-14	remove legacy history json files from readme	README-json.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
e17499956	2024-08-18	update packages	Dockerfile,required_packages	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
c4ba31b49	2024-08-18	docker: use separate repo for builder	.github/workflows/docker.yaml,Dockerfile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
24568a6f2	2024-08-18	incrementing version: 3.14.1637	debian/changelog,version	skip	debian changelog metadata only					
7a651de8d	2024-08-18	docker: re-add tagged builds and build for sid	.github/workflows/docker.yaml	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
31aa09e44	2024-08-18	docker: remove cache	.github/workflows/docker.yaml	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
e7d8c49d3	2024-08-18	dockerfile yml	.github/workflows/docker.yaml	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
bede96fa7	2024-08-20	readsb api: support accept-encoding: zstd	api.c,api.h	take	core decode/output path (critical)	y				
bcf81a676	2024-08-20	capitalize response headers	api.c	take	core decode/output path (critical)	y				
4065eb486	2024-08-21	fix: Ubuntu 24.04 package name change	debian/control	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n			follow-up?	
66a04fe82	2024-08-22	make sure SBS positions out of receiver range are not used	track.c	take	core decode/output path (critical)	y				
5da03b53f	2024-08-22	incrementing version: 3.14.1638	debian/changelog,version	skip	debian changelog metadata only					
e8352b6ab	2024-08-22	deb building apparently needs fakeroot	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
18ee0ef4d	2024-08-23	fixup required packages	required_packages	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
61b77e1da	2024-08-24	don't call getaddrinfo quite as often	net_io.c,net_io.h	take	core decode/output path (critical)	y				
6f9b0b82f	2024-08-25	add jaero exception to sbs range limit	track.c	take	core decode/output path (critical)	y				
123fbf101	2024-08-25	incrementing version: 3.14.1639	debian/changelog,version	skip	debian changelog metadata only					
d6932bb08	2024-09-02	make log_ppm work with argument 0 as expected	readsb.c	take	core code (non-critical) | debug/log output only	n				
603523537	2024-09-15	copy full DB details to aircraft struct	aircraft.c,json_out.c,track.h	take	core decode/output path (critical)	y				
78f140cc2	2024-09-16	couple of fixes to make ModeS beast work properly	5 files: net_io.c,net_io.h,readsb.c,readsb.h,sdr_beast.c	take	core decode/output path (critical)	y				
4b1868567	2024-09-16	incrementing version: 3.14.1640	debian/changelog,version	skip	debian changelog metadata only					
2ab35ba54	2024-09-17	cleanup df18 exception handling	aircraft.c,json_out.c,track.c,track.h	take	core decode/output path (critical)	y				
85badfbcf	2024-09-17	streamline zlib gzbuffer things	globe_index.c,json_out.c,util.c,util.h	take	core decode/output path (critical)	y				
85cab05e4	2024-09-17	prepare aircraft db change / cleanup	aircraft.c	take	core decode/output path (critical)	y				
ae09ee115	2024-09-17	readwholeGz minor cleanup	util.c	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
7086b20e8	2024-09-17	change aircraft db to use less memory	aircraft.c,aircraft.h,readsb.h	take	core decode/output path (critical)	y				
85b918727	2024-09-17	incrementing version: 3.14.1641	debian/changelog,version	skip	debian changelog metadata only					
6ee23d772	2024-09-28	fixup uptime in stats	readsb.c,readsb.h,stats.c,util.c	take	core code (non-critical) | uptime in stats output; test_stats_and_history	y				
9ef77b342	2024-10-10	fixup api thread count comment	api.c	take	core decode/output path (critical)	y				
87d62d3c9	2024-10-10	readsb service: add CAP_SYS_NICE	debian/readsb.service	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
431f5d848	2024-10-13	net io: make some code nicer to read	net_io.c	take	core decode/output path (critical)	y				
e7dec69f0	2024-10-17	speed_check: decrement speedUnreliable speed is unknown	track.c	take	core decode/output path (critical)	y				
0c87e5932	2024-10-17	incrementing version: 3.14.1642	debian/changelog,version	skip	debian changelog metadata only					
4f8a0b420	2024-10-29	make --devel=enableClientsJson work	mode_s.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
207ec6206	2024-11-01	incrementing version: 3.14.1643	debian/changelog,version	skip	debian changelog metadata only					
6e2434f1f	2024-11-01	make it simple to save traces without enabling globe-index	6 files: globe_index.c,help.h,json_out.c,readsb.c,readsb.h,stats.c	take	core decode/output path (critical)	y				
a0ad60b2a	2024-11-01	incrementing version: 3.14.1644	debian/changelog,version	skip	debian changelog metadata only					
f6c06e581	2024-11-02	first attempt at quick autogain	demod_2400.c,readsb.c,readsb.h,sdr_rtlsdr.c	take	core decode/output path (critical)	y				
e1b2cecc4	2024-11-02	default to --gain=auto	debian/readsb.default	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
739f6af7a	2024-11-02	tweak autogain	demod_2400.c,readsb.c,readsb.h,sdr_rtlsdr.c	take	core decode/output path (critical)	y				
f40bd618d	2024-11-02	allow rtl tuner agc for autogain	6 files: readsb.c,readsb.h,sdr.c,sdr.h,sdr_rtlsdr.c,sdr_rtlsdr.h	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
e4faf7fa5	2024-11-02	incrementing version: 3.14.1645	debian/changelog,version	skip	debian changelog metadata only					
1e276882a	2024-11-02	autogain: silent by default	readsb.c,readsb.h,sdr_rtlsdr.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
2c51b73c5	2024-11-02	make quiet autogain the default	README.md,help.h,readsb.c,readsb.h	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
31378c2ee	2024-11-02	just log 59 dB instead of tuner AGC	sdr_rtlsdr.c	take	SDR/hardware path; low test priority	n				
80fc54619	2024-11-03	autogain: change default noise thresholds	README.md,readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
8fd5acf09	2024-11-03	autogain: print autogain settings	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
89fc77451	2024-11-03	autogain defaults tweak	README.md,readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
b4bd2f5c6	2024-11-03	autogain: reduce default loudThreshold	README.md,readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
7be4ddf30	2024-11-03	autogain: faster startup, faster reaction to very loud signals	readsb.c,readsb.h	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
15823dd47	2024-11-03	autogain: replace startingGain with lowestGain parameter	README.md,readsb.c,readsb.h	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
c67e6710e	2024-11-04	remove adsbexchange hardcoding	5 files: README.md,help.h,net_io.c,readsb.c,track.c	take	core decode/output path (critical)	y				
7c34ff39b	2024-11-05	fixup autogain min gain setting	readsb.c,sdr_rtlsdr.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
e8de53682	2024-11-15	add range outline reset via setGain file	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
079fda30a	2024-11-18	fixup --gain -10	sdr_rtlsdr.c	take	SDR/hardware path; low test priority	n				
c3214b36f	2024-11-19	longer dwell time for aircraft when writing traces without globe index	track.c	take	core decode/output path (critical)	y				
2b6338496	2024-12-10	update --net-only help text	help.h,readsb.c	take	core code (non-critical) | help/README text only	n				
fb8449754	2024-12-10	non rtl-sdr: use default gain when gain=auto passed	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
9cf1af0a1	2024-12-13	readProxy setting	net_io.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
038b48576	2025-01-04	support non-icao addresses in SBS input/output	net_io.c	take	core decode/output path (critical)	y				
ae987a904	2025-01-04	add comment with SBS sample message	net_io.c	take	core decode/output path (critical)	y				
7211f3f4c	2025-01-04	improve receiver count logic	track.c	take	core decode/output path (critical)	y				
2f7a72ed2	2025-01-04	add print to make sure we don't do too many iterations	track.c	take	core decode/output path (critical)	y				
48ef3c0bd	2025-01-04	github action: fix readsb version to include git commit	.github/workflows/docker.yaml,Dockerfile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch	follow-up?	
3efa2b1ec	2025-01-06	traces: make sure the air ground transition is well recorded	globe_index.c	take	core decode/output path (critical)	y				
85c087779	2025-01-10	update to world magnetic model 2025 (WMM2025)	geomag.c	take	core code (non-critical) | WMM2025 model: geomag_tests expected values MUST update	y				
f11a5b8a2	2025-01-10	traces: use buffered position without exception	globe_index.c	take	core decode/output path (critical)	y				
c373053c1	2025-01-10	incrementing version: 3.14.1646	debian/changelog,version	skip	debian changelog metadata only					
d3aa1180e	2025-01-21	make tracks statistics consistent across various settings	aircraft.c,track.c	take	core decode/output path (critical)	y				
06545364d	2025-01-21	ignore non-CRC messages after 30 seconds of last CRC message (was 45)	track.c	take	core decode/output path (critical)	y				
2f1e4e0be	2025-01-26	only use rtl agc for rafael tuners with 29 gain steps	sdr_rtlsdr.c	take	SDR/hardware path; low test priority	n				
33a5b080d	2025-01-26	with new arm runners shouldn't need qemu anymore	.github/workflows/docker.yaml	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
7b76a6a63	2025-01-26	fix rtl-sdr handling for less common tuners	sdr_rtlsdr.c	take	SDR/hardware path; low test priority	n			follow-up?	
ff6b71adc	2025-02-03	trace saving readme	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
bf77bfad3	2025-02-06	"Revert ""with new arm runners shouldn't need qemu anymore"""	.github/workflows/docker.yaml	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch	follow-up?	
d1b9bc918	2025-02-12	force mlat if no other position	5 files: globe_index.c,readsb.c,readsb.h,track.c,track.h	take	core decode/output path (critical)	y				
8a2933248	2025-02-13	remove debug print	track.c	take	core decode/output path (critical)	y				
fc0cab93c	2025-02-13	incrementing version: 3.14.1647	debian/changelog,version	skip	debian changelog metadata only					
7cbbbe51f	2025-02-14	setLatLon	readsb.c	take	core code (non-critical) | setLatLon affects position/distance output	y				
b65e1deb3	2025-02-20	sbs_in: don't accept invalid data	net_io.c	take	core decode/output path (critical)	y				
8d79307e8	2025-02-26	add --process-only	help.h,net_io.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
69ea9252d	2025-02-26	heatmap / replay: unknown altitude now allowed	globe_index.c	take	core decode/output path (critical)	y				
bfc4a0b83	2025-02-27	incrementing version: 3.14.1648	debian/changelog,version	skip	debian changelog metadata only					
795d69a37	2025-03-06	add config option for beast dump compression level	help.h,readsb.c,readsb.h,util.c	take	core code (non-critical) | beast/SDR serial path; not unit-testable	n				
8d2c17718	2025-03-06	fixup debug print for autogain	readsb.c	take	core code (non-critical) | debug/log output only	n				
cc3b5633c	2025-03-06	fix signal emitted via binCraft	globe_index.c,json_out.c,track.c,track.h	take	core decode/output path (critical)	y			follow-up?	
24c56d024	2025-03-07	change how receiver-focus works	net_io.c	take	core decode/output path (critical)	y				
21dd45e9e	2025-03-11	add compatibility shims for apple os x	12 files: compat,readsb.h	take	core code (non-critical) | Apple/OSX build-portability shim; n/a to Linux prod	n				
78580426a	2025-03-11	makefile changes required for os x	Makefile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
